aspect_ratio,background_pixels,door_objects,door_pixels,height,id,image_present,pixels,room_objects,room_pixels,svg_present,wall_objects,wall_pixels,width,window_objects,window_pixels
1.4142491467576792,7056801,7,14194,2344,high_quality_architectural/6044,True,7770360,9,571744,True,21,100993,3315,5,26628
1.111648250460405,16768702,19,29697,4344,high_quality_architectural/2564,True,20977176,22,3639038,True,46,417442,4829,24,122297
0.7075342465753425,1124148,2,2464,1460,high_quality_architectural/6165,True,1508180,5,322843,True,23,47717,1033,6,11008
1.6925698704839809,2037438,11,9425,1467,high_quality_architectural/1021,True,3642561,14,1412548,True,74,161996,2483,10,21154
2.1812642802741813,2755312,13,16567,1313,high_quality_architectural/5507,True,3760432,13,819057,True,34,141550,2864,9,27946
1.592136428233065,3760478,25,42272,2111,high_quality_architectural/1269,True,7095071,24,2831472,True,62,360604,3361,32,100245
1.3402674591381871,1631049,6,8898,1346,high_quality_architectural/5988,True,2428184,8,647285,True,33,117394,1804,7,23558
0.7587080430652312,1214728,7,9239,1579,high_quality_architectural/2123,True,1891642,7,573330,True,16,78407,1198,3,15938
1.4142287234042554,1658121,17,25177,1504,high_quality_architectural/6293,True,3199008,15,1287784,True,43,167110,2127,21,60816
0.5673289183222958,165874,3,4468,906,high_quality_architectural/925,True,465684,4,232883,True,12,62459,514,0,0
1.4139118457300275,1383042,17,25484,1452,high_quality_architectural/1171,True,2980956,16,1324187,True,38,182349,2053,15,65894
0.7942271880819367,314598,7,9340,1074,high_quality_architectural/9333,True,916122,6,479185,True,16,87539,853,3,25460
1.1155555555555556,536726,16,16273,1350,high_quality_architectural/8815,True,2033100,19,1258870,True,38,190021,1506,8,31210
0.8410981697171381,2346285,18,27883,2404,high_quality_architectural/1784,True,4860888,17,2091049,True,32,314645,2022,19,81026
1.158745247148289,558246,9,10881,1052,high_quality_architectural/6335,True,1282388,8,595779,True,16,88850,1219,8,28632
1.3526501766784453,1178374,14,23500,1415,high_quality_architectural/4947,True,2708310,16,1221145,True,38,250092,1914,7,35199
1.1248817407757805,865175,5,4587,1057,high_quality_architectural/4501,True,1256773,6,330331,True,38,47958,1189,7,8722
0.6211908110642288,1676449,9,12005,2133,high_quality_architectural/3796,True,2826225,11,976032,True,26,136147,1325,6,25592
0.5915411355735806,788506,8,15321,1726,high_quality_architectural/4554,True,1762246,12,787906,True,26,138732,1021,6,31781
1.2463592233009708,1689359,17,15241,1648,high_quality_architectural/4880,True,3384992,24,1436353,True,63,186099,2054,20,57940
1.8843262001156738,3059163,17,31576,1729,high_quality_architectural/594,True,5633082,17,2241951,True,44,225263,3258,24,75129
0.5641025641025641,659620,9,14564,1794,high_quality_architectural/9618,True,1815528,9,974299,True,26,128854,1012,10,38191
0.597103601930932,2876053,13,22652,2693,high_quality_architectural/652,True,4330344,16,1191838,True,34,201603,1608,10,38198
0.6472019464720195,714848,9,14723,1644,high_quality_architectural/8406,True,1749216,10,864462,True,17,123522,1064,6,31661
0.5111111111111111,405750,6,6795,1395,high_quality_architectural/693,True,994635,6,492685,True,20,76680,713,5,12725
